date,open,high,low,close,volume
2021-03-26,1520.0,1535.0,1515.0,1530.0,30175000
2021-03-29,1535.0,1550.0,1530.0,1540.0,17957300
2021-03-30,1550.0,1565.0,1540.0,1565.0,17152000
2021-03-31,1570.0,1570.0,1515.0,1525.0,17086300
2021-04-01,1520.0,1560.0,1515.0,1560.0,9494900
2021-04-05,1575.0,1575.0,1535.0,1565.0,5709300
2021-04-06,1565.0,1585.0,1545.0,1585.0,8809900
2021-04-07,1590.0,1590.0,1560.0,1565.0,6309900
2021-04-08,1555.0,1565.0,1510.0,1515.0,34521000
2021-04-09,1515.0,1525.0,1505.0,1505.0,25913700
2021-04-12,1515.0,1515.0,1425.0,1450.0,47686400
2021-04-13,1450.0,1450.0,1360.0,1405.0,47450800
2021-04-14,1405.0,1440.0,1400.0,1420.0,54858200
2021-04-15,1425.0,1480.0,1425.0,1465.0,37056900
2021-04-16,1490.0,1525.0,1480.0,1515.0,41022300
2021-04-19,1520.0,1520.0,1465.0,1480.0,22699900
2021-04-20,1480.0,1530.0,1480.0,1525.0,20391600
2021-04-21,1525.0,1525.0,1475.0,1485.0,8010300
2021-04-22,1475.0,1495.0,1450.0,1455.0,8831200
2021-04-23,1470.0,1490.0,1460.0,1480.0,11397600
2021-04-26,1490.0,1500.0,1480.0,1490.0,11618200
2021-04-27,1500.0,1515.0,1475.0,1485.0,18636700
2021-04-28,1485.0,1485.0,1450.0,1475.0,22368900
2021-04-29,1485.0,1485.0,1470.0,1485.0,14383400
2021-04-30,1485.0,1485.0,1455.0,1480.0,8166300
2021-05-03,1480.0,1495.0,1460.0,1480.0,6528800
2021-05-04,1480.0,1485.0,1445.0,1455.0,19214300
2021-05-05,1455.0,1470.0,1450.0,1455.0,8635000
2021-05-06,1460.0,1475.0,1455.0,1470.0,7392900
2021-05-07,1480.0,1490.0,1465.0,1480.0,10492700
2021-05-10,1480.0,1480.0,1455.0,1475.0,5610700
2021-05-11,1475.0,1480.0,1465.0,1480.0,7220900
2021-05-17,1475.0,1480.0,1415.0,1425.0,15053800
2021-05-18,1435.0,1450.0,1420.0,1450.0,7347200
2021-05-19,1450.0,1470.0,1445.0,1465.0,8036500
2021-05-20,1450.0,1470.0,1445.0,1460.0,9333600
